panel,row,column,correlation
a,P1,P1,1.0
a,P1,P2,0.9016251870386444
a,P1,P3,0.9038013332190492
a,P1,P4,0.033550634504383045
a,P1,P5,-0.025997862482526526
a,P1,P6,0.018857136335389525
a,P2,P1,0.9016251870386445
a,P2,P2,0.9999999999999998
a,P2,P3,0.8215979910590078
a,P2,P4,0.004805411341646523
a,P2,P5,-0.0023063884797808877
a,P2,P6,0.025152731783158147
a,P3,P1,0.9038013332190492
a,P3,P2,0.8215979910590077
a,P3,P3,1.0
a,P3,P4,0.034764023709878356
a,P3,P5,-0.029791539502307153
a,P3,P6,0.019379795201860613
a,P4,P1,0.033550634504383045
a,P4,P2,0.004805411341646522
a,P4,P3,0.034764023709878356
a,P4,P4,1.0
a,P4,P5,-0.021430564847241273
a,P4,P6,0.055637974495314206
a,P5,P1,-0.02599786248252653
a,P5,P2,-0.002306388479780888
a,P5,P3,-0.029791539502307153
a,P5,P4,-0.021430564847241273
a,P5,P5,1.0
a,P5,P6,0.018985368903298633
a,P6,P1,0.018857136335389525
a,P6,P2,0.025152731783158147
a,P6,P3,0.019379795201860617
a,P6,P4,0.055637974495314206
a,P6,P5,0.018985368903298633
a,P6,P6,0.9999999999999998
