panel,series,point,x,y
binary,Mean,0,-2.5,0.03718736530866841
binary,Mean,1,-2.45,0.03844835337421058
binary,Mean,2,-2.4,0.039750335012962365
binary,Mean,3,-2.35,0.04109452155623866
binary,Mean,4,-2.3,0.042482151799891135
binary,Mean,5,-2.25,0.04391449203645952
binary,Mean,6,-2.2,0.04539283603680591
binary,Mean,7,-2.15,0.046918504977203686
binary,Mean,8,-2.1,0.048492847307678416
binary,Mean,9,-2.05,0.050117238557223165
binary,Mean,10,-2.0,0.0517930810713395
binary,Mean,11,-1.95,0.05352180367718801
binary,Mean,12,-1.9,0.05530486127146938
binary,Mean,13,-1.85,0.05714373432600228
binary,Mean,14,-1.7999999999999998,0.05903992830581693
binary,Mean,15,-1.75,0.06099497299444783
binary,Mean,16,-1.7,0.063010421720985
binary,Mean,17,-1.65,0.0650878504833354
binary,Mean,18,-1.6,0.06722885696205441
binary,Mean,19,-1.5499999999999998,0.06943505941903678
binary,Mean,20,-1.5,0.07170809547530768
binary,Mean,21,-1.45,0.07404962076213241
binary,Mean,22,-1.4,0.07646130743966881
binary,Mean,23,-1.3499999999999999,0.07894484257742544
binary,Mean,24,-1.2999999999999998,0.08150192639086208
binary,Mean,25,-1.25,0.08413427032858123
binary,Mean,26,-1.2,0.08684359500471599
binary,Mean,27,-1.15,0.08963162797132013
binary,Mean,28,-1.0999999999999999,0.09250010132581912
binary,Mean,29,-1.0499999999999998,0.09545074914888595
binary,Mean,30,-1.0,0.09848530476847006
binary,Mean,31,-0.95,0.10160549784613236
binary,Mean,32,-0.8999999999999999,0.1048130512823301
binary,Mean,33,-0.8499999999999999,0.10810967793785416
binary,Mean,34,-0.7999999999999998,0.11149707716925303
binary,Mean,35,-0.75,0.1149769311767833
binary,Mean,36,-0.7,0.1185509011642103
binary,Mean,37,-0.6499999999999999,0.12222062331064736
binary,Mean,38,-0.5999999999999999,0.12598770455556518
binary,Mean,39,-0.5499999999999998,0.12985371819913386
binary,Mean,40,-0.5,0.13382019932116831
binary,Mean,41,-0.44999999999999973,0.13788864002314477
binary,Mean,42,-0.3999999999999999,0.14206048449902903
binary,Mean,43,-0.3500000000000001,0.14633712394201528
binary,Mean,44,-0.2999999999999998,0.15071989129570304
binary,Mean,45,-0.25,0.1552100558597445
binary,Mean,46,-0.19999999999999973,0.15980881776156422
binary,Mean,47,-0.1499999999999999,0.16451730230737996
binary,Mean,48,-0.09999999999999964,0.1693365542274354
binary,Mean,49,-0.04999999999999982,0.17426753183207322
binary,Mean,50,0.0,0.17931110109702922
binary,Mean,51,0.050000000000000266,0.18446802969809473
binary,Mean,52,0.10000000000000009,0.1897389810170618
binary,Mean,53,0.15000000000000036,0.19512450814262677
binary,Mean,54,0.20000000000000018,0.20062504789164615
binary,Mean,55,0.25,0.20624091487782237
binary,Mean,56,0.30000000000000027,0.21197229565649656
binary,Mean,57,0.3500000000000001,0.2178192429757457
binary,Mean,58,0.40000000000000036,0.22378167016538314
binary,Mean,59,0.4500000000000002,0.22985934569672753
binary,Mean,60,0.5,0.23605188794711554
binary,Mean,61,0.5500000000000003,0.2423587602040567
binary,Mean,62,0.6000000000000001,0.2487792659446485
binary,Mean,63,0.6500000000000004,0.25531254442635926
binary,Mean,64,0.7000000000000002,0.2619575666255207
binary,Mean,65,0.75,0.26871313155983945
binary,Mean,66,0.8000000000000003,0.27557786303090176
binary,Mean,67,0.8500000000000001,0.2825502068220105
binary,Mean,68,0.9000000000000004,0.28962842838572467
